2.67,0.00,2.48
2.67,0.13,2.48
2.65,0.26,2.48
2.62,0.38,2.48
2.57,0.50,2.48
2.52,0.62,2.48
2.45,0.73,2.48
2.38,0.84,2.48
2.29,0.93,2.48
2.20,1.02,2.48
2.10,1.10,2.48
1.99,1.17,2.48
1.87,1.23,2.48
1.75,1.27,2.48
1.62,1.31,2.48
1.50,1.33,2.48
1.37,1.34,2.48
1.24,1.33,2.48
1.11,1.32,2.48
0.99,1.29,2.48
0.86,1.25,2.48
0.74,1.20,2.48
0.63,1.14,2.48
0.53,1.06,2.48
0.43,0.98,2.48
0.34,0.89,2.48
0.26,0.79,2.48
0.18,0.68,2.48
0.12,0.56,2.48
0.08,0.44,2.48
0.04,0.32,2.48
0.01,0.19,2.48
0.00,0.06,2.48
0.00,-0.06,2.48
0.01,-0.19,2.48
0.04,-0.32,2.48
0.08,-0.44,2.48
0.12,-0.56,2.48
0.18,-0.68,2.48
0.26,-0.79,2.48
0.34,-0.89,2.48
0.43,-0.98,2.48
0.53,-1.06,2.48
0.63,-1.14,2.48
0.74,-1.20,2.48
0.86,-1.25,2.48
0.99,-1.29,2.48
1.11,-1.32,2.48
1.24,-1.33,2.48
1.37,-1.34,2.48
1.50,-1.33,2.48
1.62,-1.31,2.48
1.75,-1.27,2.48
1.87,-1.23,2.48
1.99,-1.17,2.48
2.10,-1.10,2.48
2.20,-1.02,2.48
2.29,-0.93,2.48
2.38,-0.84,2.48
2.45,-0.73,2.48
2.52,-0.62,2.48
2.57,-0.50,2.48
2.62,-0.38,2.48
2.65,-0.26,2.48
2.67,-0.13,2.48
2.67,0.00,2.48
2.67,0.00,3.47
2.67,0.13,3.47
2.65,0.26,3.47
2.62,0.38,3.47
2.57,0.50,3.47
2.52,0.62,3.47
2.45,0.73,3.47
2.38,0.84,3.47
2.29,0.93,3.47
2.20,1.02,3.47
2.10,1.10,3.47
1.99,1.17,3.47
1.87,1.23,3.47
1.75,1.27,3.47
1.62,1.31,3.47
1.50,1.33,3.47
1.37,1.34,3.47
1.24,1.33,3.47
1.11,1.32,3.47
0.99,1.29,3.47
0.86,1.25,3.47
0.74,1.20,3.47
0.63,1.14,3.47
0.53,1.06,3.47
0.43,0.98,3.47
0.34,0.89,3.47
0.26,0.79,3.47
0.18,0.68,3.47
0.12,0.56,3.47
0.08,0.44,3.47
0.04,0.32,3.47
0.01,0.19,3.47
0.00,0.06,3.47
0.00,-0.06,3.47
0.01,-0.19,3.47
0.04,-0.32,3.47
0.08,-0.44,3.47
0.12,-0.56,3.47
0.18,-0.68,3.47
0.26,-0.79,3.47
0.34,-0.89,3.47
0.43,-0.98,3.47
0.53,-1.06,3.47
0.63,-1.14,3.47
0.74,-1.20,3.47
0.86,-1.25,3.47
0.99,-1.29,3.47
1.11,-1.32,3.47
1.24,-1.33,3.47
1.37,-1.34,3.47
1.50,-1.33,3.47
1.62,-1.31,3.47
1.75,-1.27,3.47
1.87,-1.23,3.47
1.99,-1.17,3.47
2.10,-1.10,3.47
2.20,-1.02,3.47
2.29,-0.93,3.47
2.38,-0.84,3.47
2.45,-0.73,3.47
2.52,-0.62,3.47
2.57,-0.50,3.47
2.62,-0.38,3.47
2.65,-0.26,3.47
2.67,-0.13,3.47
2.67,0.00,3.47
2.89,0.00,4.95
2.88,0.14,4.95
2.86,0.28,4.95
2.83,0.41,4.95
2.78,0.54,4.95
2.72,0.67,4.95
2.65,0.79,4.95
2.57,0.90,4.95
2.48,1.01,4.95
2.37,1.10,4.95
2.26,1.19,4.95
2.15,1.26,4.95
2.02,1.32,4.95
1.89,1.37,4.95
1.76,1.41,4.95
1.62,1.43,4.95
1.48,1.44,4.95
1.34,1.44,4.95
1.20,1.42,4.95
1.06,1.39,4.95
0.93,1.35,4.95
0.80,1.29,4.95
0.68,1.23,4.95
0.57,1.15,4.95
0.46,1.06,4.95
0.36,0.96,4.95
0.28,0.85,4.95
0.20,0.73,4.95
0.13,0.61,4.95
0.08,0.48,4.95
0.04,0.35,4.95
0.02,0.21,4.95
0.00,0.07,4.95
0.00,-0.07,4.95
0.02,-0.21,4.95
0.04,-0.35,4.95
0.08,-0.48,4.95
0.13,-0.61,4.95
0.20,-0.73,4.95
0.28,-0.85,4.95
0.36,-0.96,4.95
0.46,-1.06,4.95
0.57,-1.15,4.95
0.68,-1.23,4.95
0.80,-1.29,4.95
0.93,-1.35,4.95
1.06,-1.39,4.95
1.20,-1.42,4.95
1.34,-1.44,4.95
1.48,-1.44,4.95
1.62,-1.43,4.95
1.76,-1.41,4.95
1.89,-1.37,4.95
2.02,-1.32,4.95
2.15,-1.26,4.95
2.26,-1.19,4.95
2.37,-1.10,4.95
2.48,-1.01,4.95
2.57,-0.90,4.95
2.65,-0.79,4.95
2.72,-0.67,4.95
2.78,-0.54,4.95
2.83,-0.41,4.95
2.86,-0.28,4.95
2.88,-0.14,4.95
2.89,0.00,4.95
3.18,-0.61,7.43
3.17,-0.61,7.43
3.14,-0.59,7.43
3.10,-0.56,7.43
3.04,-0.52,7.43
2.96,-0.48,7.43
2.88,-0.43,7.43
2.78,-0.39,7.43
2.67,-0.34,7.43
2.54,-0.28,7.43
2.41,-0.23,7.43
2.26,-0.18,7.43
2.12,-0.12,7.43
1.96,-0.07,7.43
1.81,-0.01,7.43
1.65,0.04,7.43
1.50,0.08,7.43
1.35,0.13,7.43
1.20,0.16,7.43
1.06,0.19,7.43
0.93,0.21,7.43
0.80,0.21,7.43
0.67,0.21,7.43
0.55,0.20,7.43
0.44,0.19,7.43
0.34,0.17,7.43
0.25,0.15,7.43
0.17,0.13,7.43
0.11,0.10,7.43
0.06,0.07,7.43
0.02,0.04,7.43
0.00,0.01,7.43
0.00,0.01,7.43
0.00,0.00,7.43
0.00,0.00,7.43
0.00,-0.01,7.43
0.00,-0.02,7.43
0.00,-0.03,7.43
0.03,-0.07,7.43
0.06,-0.12,7.43
0.11,-0.17,7.43
0.18,-0.22,7.43
0.26,-0.28,7.43
0.34,-0.33,7.43
0.43,-0.39,7.43
0.53,-0.44,7.43
0.64,-0.49,7.43
0.74,-0.52,7.43
0.86,-0.54,7.43
0.99,-0.55,7.43
1.13,-0.55,7.43
1.28,-0.54,7.43
1.45,-0.53,7.43
1.62,-0.51,7.43
1.81,-0.50,7.43
1.99,-0.49,7.43
2.18,-0.48,7.43
2.37,-0.48,7.43
2.54,-0.48,7.43
2.70,-0.50,7.43
2.85,-0.52,7.43
2.97,-0.54,7.43
3.07,-0.56,7.43
3.14,-0.59,7.43
3.17,-0.61,7.43
3.18,-0.61,7.43
3.54,-0.68,9.90
3.52,-0.67,9.90
3.49,-0.65,9.90
3.44,-0.62,9.90
3.37,-0.58,9.90
3.29,-0.53,9.90
3.20,-0.48,9.90
3.09,-0.43,9.90
2.96,-0.37,9.90
2.82,-0.32,9.90
2.67,-0.26,9.90
2.51,-0.19,9.90
2.35,-0.13,9.90
2.18,-0.07,9.90
